experience_level,job_title,salary_in_usd,employee_residence,remote_ratio
SE,Analytics Engineer,214000,US,0
SE,Analytics Engineer,179820,US,0
SE,Analytics Engineer,143860,US,0
SE,Machine Learning Engineer,283200,US,100
SE,Machine Learning Engineer,188800,US,100
SE,Analytics Engineer,289800,US,0
SE,Analytics Engineer,214200,US,0
SE,Data Engineer,185900,US,0
SE,Data Engineer,129300,US,0
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
MI,Data Analyst,155000,US,0
MI,Data Analyst,140000,US,0
SE,Data Engineer,161800,US,100
SE,Data Engineer,141600,US,100
SE,Machine Learning Engineer,342300,US,0
SE,Machine Learning Engineer,176100,US,0
MI,Data Engineer,100000,US,100
MI,Data Engineer,70000,US,100
EN,Data Engineer,85000,US,0
EN,Data Engineer,65000,US,0
SE,Data Scientist,138784,US,100
SE,Data Scientist,83270,US,100
EN,Data Analyst,75000,US,0
EN,Data Analyst,70000,US,0
SE,Data Analyst,204500,US,0
SE,Data Analyst,138900,US,0
SE,Machine Learning Engineer,318300,US,100
SE,Machine Learning Engineer,212200,US,100
SE,Data Engineer,95000,US,100
SE,Data Engineer,75000,US,100
SE,Data Scientist,195000,US,0
SE,Data Scientist,160000,US,0
SE,Analytics Engineer,230000,US,0
SE,Analytics Engineer,143200,US,0
MI,Data Engineer,100000,US,100
MI,Data Engineer,70000,US,100
MI,Data Analyst,105000,US,50
MI,Data Scientist,20670,IN,100
MI,Data Analyst,46178,GB,0
MI,Data Analyst,42533,GB,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,115000,US,0
SE,Data Analyst,168400,US,0
SE,Data Analyst,105200,US,0
SE,Research Scientist,309400,US,0
SE,Research Scientist,159100,US,0
SE,Machine Learning Engineer,190000,US,0
SE,Machine Learning Engineer,150000,US,0
MI,Data Engineer,162500,US,0
MI,Data Engineer,130000,US,0
SE,Analytics Engineer,150000,US,100
SE,Analytics Engineer,120000,US,100
SE,Data Engineer,145000,US,0
SE,Data Engineer,120000,US,0
SE,Research Scientist,222200,US,0
SE,Research Scientist,136000,US,0
SE,Data Analyst,54685,CF,100
SE,Data Analyst,42533,CF,100
SE,Data Engineer,241000,US,0
SE,Data Engineer,155000,US,0
SE,Data Engineer,220000,US,100
SE,Data Engineer,190000,US,100
MI,Data Scientist,66837,GB,0
MI,Data Scientist,54685,GB,0
EX,Data Analyst,15000,NG,0
MI,Etl Engineer,85066,GB,100
MI,Etl Engineer,57723,GB,100
EN,Data Analyst,85000,US,100
EN,Data Analyst,75000,US,100
SE,Data Engineer,160000,US,0
SE,Data Engineer,140000,US,0
MI,Machine Learning Engineer,300000,US,0
MI,Machine Learning Engineer,250000,US,0
SE,Data Scientist,228000,US,0
SE,Data Scientist,186000,US,0
SE,Data Scientist,190000,US,0
SE,Data Scientist,170000,US,0
MI,Research Engineer,230000,US,0
MI,Research Engineer,200000,US,0
SE,Data Architect,180000,US,100
SE,Data Architect,115000,US,100
SE,Data Architect,200000,US,100
SE,Data Architect,115000,US,100
SE,Data Engineer,53654,FR,50
EX,Data Engineer,220000,US,0
EX,Data Engineer,205000,US,0
MI,Data Engineer,180000,US,0
MI,Data Engineer,130000,US,0
SE,Data Engineer,200000,US,100
SE,Data Engineer,150000,US,100
SE,Computer Vision Engineer,215000,US,0
SE,Computer Vision Engineer,170000,US,0
SE,Machine Learning Engineer,247500,US,0
SE,Machine Learning Engineer,172200,US,0
SE,Data Scientist,224000,CA,0
SE,Data Scientist,176000,CA,0
SE,Data Analyst,120000,US,100
SE,Data Analyst,75000,US,100
EN,Data Engineer,17022,IN,100
SE,Data Scientist,68318,AU,100
MI,AI Programmer,75020,FI,0
SE,Data Analyst,140000,US,0
SE,Data Analyst,120000,US,0
SE,Data Engineer,128000,US,0
SE,Data Engineer,81500,US,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,115000,US,0
SE,Data Engineer,185000,US,0
SE,Data Engineer,140000,US,0
EX,Head of Data,329500,US,0
EX,Head of Data,269600,US,0
SE,Data Analyst,100000,US,0
SE,Data Analyst,80000,US,0
SE,Data Scientist,250000,US,0
SE,Data Scientist,162500,US,0
MI,AI Programmer,200000,US,100
SE,Data Engineer,145000,US,0
SE,Data Engineer,100000,US,0
EX,Data Engineer,145000,US,0
EX,Data Engineer,115000,US,0
SE,Data Scientist,203500,US,0
SE,Data Scientist,152000,US,0
SE,Data Scientist,239000,US,0
SE,Data Scientist,122900,US,0
SE,Data Scientist,237000,US,0
SE,Data Scientist,145000,US,0
SE,Data Scientist,191765,US,0
SE,Data Scientist,134236,US,0
SE,Analytics Engineer,190000,US,100
SE,Analytics Engineer,112000,US,100
SE,Data Scientist,88256,ES,100
EN,Data Engineer,85000,US,0
EN,Data Engineer,65000,US,0
SE,Data Analyst,135000,US,0
SE,Data Analyst,105500,US,0
SE,Research Engineer,293000,US,0
SE,Research Engineer,185000,US,0
SE,Data Analyst,80000,US,0
SE,Data Analyst,70000,US,0
SE,Data Engineer,220000,US,100
SE,Data Engineer,160000,US,100
SE,Data Scientist,175000,US,100
SE,Data Scientist,145000,US,100
SE,Data Analyst,200000,US,0
SE,Data Analyst,148500,US,0
SE,Data Scientist,48289,ES,0
SE,Data Scientist,38631,ES,0
SE,Data Engineer,240500,US,0
SE,Data Engineer,123700,US,0
SE,Analytics Engineer,152900,US,100
SE,Analytics Engineer,117100,US,100
SE,Analytics Engineer,173000,US,100
SE,Analytics Engineer,113000,US,100
SE,Research Scientist,260000,US,0
SE,Research Scientist,136000,US,0
EX,Data Engineer,175000,US,0
EX,Data Engineer,110000,US,0
SE,Research Scientist,260000,US,0
SE,Research Scientist,136000,US,0
SE,Research Scientist,130000,US,100
SE,Research Scientist,110000,US,100
SE,Research Scientist,205000,US,100
SE,Research Scientist,184000,US,100
SE,Data Analyst,149500,US,100
SE,Data Analyst,127075,US,100
SE,Data Scientist,195000,US,0
SE,Data Scientist,160000,US,0
SE,Data Engineer,219535,US,100
SE,Data Engineer,146115,US,100
SE,Data Scientist,170000,US,0
SE,Data Scientist,135000,US,0
SE,Data Scientist,175000,US,100
SE,Data Scientist,145000,US,100
SE,Data Scientist,199000,US,0
SE,Data Scientist,162000,US,0
SE,Research Scientist,222200,US,0
SE,Research Scientist,136000,US,0
EX,Analytics Engineer,221000,US,100
EX,Analytics Engineer,153000,US,100
SE,Data Analyst,187000,US,0
SE,Data Analyst,128000,US,0
SE,Research Scientist,210000,US,0
SE,Research Scientist,136000,US,0
SE,Data Scientist,175000,US,100
SE,Data Scientist,100000,US,100
SE,Data Engineer,179000,US,0
SE,Data Engineer,109000,US,0
SE,Data Scientist,245000,US,0
SE,Data Scientist,180000,US,0
SE,Data Analyst,142000,US,100
SE,Data Analyst,75000,US,100
SE,Data Manager,198800,US,0
SE,Data Manager,105200,US,0
SE,Data Analyst,125000,US,100
SE,Data Analyst,112000,US,100
SE,Data Scientist,210000,US,0
SE,Data Scientist,155000,US,0
SE,Data Manager,115000,US,100
SE,Data Manager,86000,US,100
SE,Data Scientist,165000,US,0
SE,Data Scientist,140000,US,0
SE,Data Analyst,139000,US,0
SE,Data Analyst,106000,US,0
EN,Data Analyst,40663,CA,0
SE,AI Programmer,275000,CA,0
MI,Machine Learning Engineer,280700,US,100
MI,Machine Learning Engineer,150450,US,100
EN,Data Scientist,51753,CA,100
SE,Data Architect,250500,US,0
SE,Data Architect,159500,US,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,115000,US,0
SE,Data Analyst,140000,US,0
SE,Data Analyst,120000,US,0
EN,Data Scientist,130001,US,100
EN,Data Scientist,71907,US,100
MI,Data Scientist,93918,US,100
MI,Data Scientist,51962,US,100
SE,Data Analyst,175000,CA,100
SE,Data Analyst,135000,CA,100
EN,Data Engineer,85000,US,0
EN,Data Engineer,65000,US,0
SE,Machine Learning Engineer,257000,US,0
SE,Machine Learning Engineer,147000,US,0
SE,Data Engineer,222000,US,100
SE,Data Engineer,175000,US,100
SE,Data Scientist,203000,US,100
SE,Data Scientist,133200,US,100
EN,Research Scientist,213660,US,0
EN,Research Scientist,130760,US,0
SE,Data Engineer,221000,US,0
SE,Data Engineer,147000,US,0
SE,Data Analyst,100000,US,0
SE,Data Analyst,80000,US,0
SE,Data Scientist,185900,US,0
SE,Data Scientist,129300,US,0
SE,Data Scientist,238000,US,100
SE,Data Scientist,156000,US,100
SE,Machine Learning Engineer,304000,US,100
SE,Machine Learning Engineer,199000,US,100
MI,Data Engineer,48289,ES,100
SE,Data Engineer,150000,US,0
SE,Data Engineer,130000,US,0
SE,Data Scientist,140000,US,100
SE,Data Scientist,110000,US,100
MI,Data Analyst,90000,US,0
MI,Data Analyst,75000,US,0
MI,Research Scientist,195895,GB,0
MI,Research Scientist,102772,GB,0
SE,Data Engineer,240000,US,0
SE,Data Engineer,183600,US,0
MI,Data Specialist,130000,US,0
MI,Data Specialist,80000,US,0
SE,Data Engineer,250000,US,0
SE,Data Engineer,150000,US,0
SE,Data Analyst,160000,US,100
SE,Data Analyst,120000,US,100
SE,Machine Learning Engineer,289076,US,0
SE,Machine Learning Engineer,202353,US,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,120000,US,0
SE,Data Analyst,155000,US,0
SE,Data Analyst,106000,US,0
SE,Data Engineer,200000,US,0
SE,Data Engineer,160000,US,0
SE,Data Scientist,157750,US,100
SE,Data Scientist,104650,US,100
MI,Data Scientist,180000,US,100
MI,Data Scientist,140000,US,100
EX,Data Scientist,200000,US,0
EX,Data Scientist,145000,US,0
MI,Data Analyst,68000,US,0
EN,Data Engineer,60000,US,100
SE,Data Scientist,48289,ES,0
SE,Data Scientist,38631,ES,0
EN,Data Engineer,85000,US,0
EN,Data Engineer,65000,US,0
MI,Data Engineer,125000,US,0
MI,Data Engineer,90000,US,0
SE,Data Analyst,105000,US,100
SE,Data Analyst,90000,US,100
SE,Analytics Engineer,179820,US,0
SE,Analytics Engineer,143860,US,0
SE,Data Analyst,135000,US,0
SE,Data Analyst,105500,US,0
EN,Research Engineer,155000,US,0
EN,Research Engineer,125000,US,0
SE,Machine Learning Engineer,241000,US,0
SE,Machine Learning Engineer,181000,US,0
SE,Data Scientist,252000,US,0
SE,Data Scientist,154000,US,0
EX,Data Architect,180000,US,0
EX,Data Architect,155000,US,0
SE,Data Scientist,191765,US,0
SE,Data Scientist,134236,US,0
SE,Data Scientist,175000,US,100
SE,Data Scientist,145000,US,100
SE,Data Scientist,237000,US,100
SE,Data Scientist,145000,US,100
EN,Research Engineer,155000,US,0
EN,Research Engineer,125000,US,0
SE,Data Analyst,80000,US,0
SE,Data Analyst,70000,US,0
SE,Data Engineer,146000,US,0
SE,Data Engineer,75000,US,0
EN,Data Analyst,64200,US,100
EN,Data Analyst,56100,US,100
SE,Machine Learning Engineer,170000,US,0
SE,Machine Learning Engineer,130000,US,0
SE,Data Analyst,208450,US,100
SE,Data Analyst,170550,US,100
SE,Machine Learning Engineer,125000,US,0
SE,Machine Learning Engineer,100000,US,0
MI,Data Manager,135000,US,0
MI,Data Manager,120000,US,0
SE,Data Scientist,200000,US,100
SE,Data Scientist,170000,US,100
SE,Data Scientist,171250,IE,0
SE,Data Scientist,113750,IE,0
SE,Research Scientist,222200,US,0
SE,Research Scientist,136000,US,0
SE,Research Scientist,260000,US,0
SE,Research Scientist,136000,US,0
SE,Data Analyst,153600,US,0
SE,Data Analyst,100500,US,0
SE,Research Scientist,205000,US,100
SE,Research Scientist,184000,US,100
SE,Machine Learning Engineer,115000,CA,100
SE,Machine Learning Engineer,95000,CA,100
MI,Data Analyst,182500,US,0
MI,Data Analyst,121500,US,0
SE,Data Engineer,203100,US,0
SE,Data Engineer,114500,US,0
MI,Data Analyst,72914,GB,0
MI,Data Analyst,54685,GB,0
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
EN,Data Engineer,92700,US,100
EN,Data Engineer,61800,US,100
SE,Data Engineer,160000,US,100
SE,Data Engineer,130000,US,100
SE,Data Scientist,258000,CA,0
SE,Data Scientist,190000,CA,0
SE,Data Scientist,170000,US,0
SE,Data Scientist,135000,US,0
MI,Data Architect,167500,US,0
MI,Data Architect,106500,US,0
SE,Data Scientist,195000,US,0
SE,Data Scientist,160000,US,0
MI,Data Engineer,146000,US,0
MI,Data Engineer,75000,US,0
EN,Data Engineer,59888,NL,100
EX,Data Engineer,286000,US,100
EX,Data Engineer,207000,US,100
SE,Data Analyst,100000,US,100
SE,Data Analyst,80000,US,100
SE,Data Engineer,223250,US,0
SE,Data Engineer,178600,US,0
EX,Data Scientist,353200,US,0
EX,Data Scientist,249300,US,0
MI,Machine Learning Engineer,230000,US,0
MI,Machine Learning Engineer,220000,US,0
SE,Data Scientist,297300,US,100
SE,Data Scientist,198200,US,100
MI,Research Scientist,210000,US,100
MI,Research Scientist,151800,US,100
SE,Data Scientist,200000,US,100
SE,Data Scientist,170000,US,100
SE,Data Scientist,317070,US,0
SE,Data Scientist,170730,US,0
SE,Data Engineer,128000,US,0
SE,Data Engineer,81500,US,0
EN,Data Analyst,21461,ES,0
SE,AI Programmer,108000,UA,0
SE,AI Programmer,60000,UA,0
MI,Machine Learning Engineer,134000,US,100
MI,Machine Learning Engineer,124000,US,100
SE,Data Engineer,171250,US,0
SE,Data Engineer,113750,US,0
SE,Data Engineer,165000,US,0
SE,Data Engineer,132300,US,0
SE,Data Scientist,225000,US,0
SE,Data Scientist,175000,US,0
SE,Data Engineer,230000,US,0
SE,Data Engineer,124500,US,0
SE,Machine Learning Engineer,247500,US,0
SE,Machine Learning Engineer,172200,US,0
SE,Data Analyst,175000,US,0
SE,Data Analyst,145000,US,0
SE,Data Analyst,148700,US,0
SE,Data Analyst,125600,US,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,115000,US,0
SE,Research Scientist,200000,US,0
SE,Research Scientist,150000,US,0
EN,Research Engineer,160000,US,0
EN,Research Engineer,120000,US,0
SE,Data Analyst,185000,US,100
SE,Data Analyst,120250,US,100
SE,Data Scientist,275300,US,100
SE,Data Scientist,183000,US,100
SE,Data Architect,170000,US,100
SE,Data Architect,125000,US,100
MI,Data Architect,167500,US,0
MI,Data Architect,106500,US,0
SE,Research Scientist,250000,US,0
SE,Research Scientist,200000,US,0
MI,Machine Learning Engineer,135000,US,50
SE,AI Programmer,423834,IL,0
SE,Machine Learning Engineer,216000,US,100
SE,Machine Learning Engineer,184000,US,100
SE,Data Engineer,180000,US,100
SE,Data Engineer,165000,US,100
SE,Data Scientist,185900,US,0
SE,Data Scientist,129300,US,0
SE,Data Engineer,145000,US,0
SE,Data Engineer,120000,US,0
MI,Data Engineer,143865,US,0
MI,Data Engineer,115092,US,0
MI,Machine Learning Engineer,130000,US,0
MI,Machine Learning Engineer,90000,US,0
SE,Data Scientist,173000,US,100
SE,Data Scientist,132000,US,100
SE,Data Analyst,208049,US,0
SE,Data Analyst,128500,US,0
SE,Analytics Engineer,179820,US,0
SE,Analytics Engineer,143860,US,0
SE,Data Engineer,167500,US,0
SE,Data Engineer,106500,US,0
SE,Data Scientist,275300,US,100
SE,Data Scientist,183500,US,100
MI,Data Engineer,149600,US,0
MI,Data Engineer,102000,US,0
EX,Data Scientist,145000,US,0
EX,Data Scientist,100000,US,0
SE,Data Analyst,190000,US,100
SE,Data Analyst,95000,US,100
SE,Data Analyst,153600,US,0
SE,Data Analyst,106800,US,0
MI,Data Scientist,96578,IE,0
MI,Data Scientist,80481,IE,0
MI,Data Analyst,128000,US,0
MI,Data Analyst,85000,US,0
MI,Data Engineer,151000,US,0
MI,Data Engineer,140000,US,0
SE,Data Scientist,275300,US,100
SE,Data Scientist,183500,US,100
SE,Machine Learning Engineer,220000,US,0
SE,Machine Learning Engineer,170000,US,0
SE,Data Analyst,135000,US,0
SE,Data Analyst,105500,US,0
SE,Data Analyst,100000,US,100
SE,Data Analyst,80000,US,100
EN,Autonomous Vehicle Technician,7000,GH,0
EN,Machine Learning Engineer,42923,DE,50
SE,Data Engineer,160000,CA,100
SE,Data Engineer,145000,CA,100
MI,Data Analyst,154000,US,0
MI,Data Analyst,143000,US,0
MI,Data Scientist,78990,GB,0
MI,Data Scientist,51039,GB,0
EN,Data Scientist,190000,US,0
EN,Data Scientist,120000,US,0
MI,Data Scientist,85066,GB,0
MI,Data Scientist,51039,GB,0
MI,Data Scientist,109371,GB,0
MI,Data Scientist,72914,GB,0
SE,Data Engineer,150000,US,0
SE,Data Engineer,111000,US,0
EX,Data Engineer,265000,US,0
EX,Data Engineer,235000,US,0
EN,Data Scientist,121093,CH,50
MI,Data Scientist,73546,DE,100
SE,Data Engineer,160000,US,100
SE,Data Engineer,130000,US,100
MI,Data Engineer,75000,US,100
MI,Data Engineer,60400,US,100
EN,Data Analyst,85000,US,100
EN,Data Analyst,75000,US,100
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
EN,Data Engineer,92700,US,100
EN,Data Engineer,61800,US,100
SE,Data Scientist,172309,IE,100
MI,Data Scientist,60093,AT,100
MI,Data Analyst,83500,US,100
MI,Data Analyst,52500,US,100
SE,Data Scientist,201036,US,0
SE,Data Scientist,134024,US,0
SE,Data Analyst,165000,US,100
SE,Data Analyst,140000,US,100
EN,Data Engineer,62000,US,100
EN,Data Engineer,58000,US,100
SE,Data Scientist,172000,US,0
SE,Data Scientist,115000,US,0
EN,Data Engineer,125000,US,0
EN,Data Engineer,90000,US,0
SE,Data Engineer,163800,US,0
SE,Data Engineer,126000,US,0
SE,Data Scientist,237000,US,100
SE,Data Scientist,145000,US,100
MI,Data Engineer,90000,US,100
MI,Data Engineer,90000,US,100
SE,Data Engineer,139500,US,0
SE,Data Engineer,109400,US,0
SE,Data Scientist,258000,CA,0
SE,Data Scientist,190000,CA,0
MI,Data Engineer,145000,US,0
MI,Data Engineer,120000,US,0
SE,Data Engineer,205600,US,0
SE,Data Engineer,105700,US,0
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
SE,Data Scientist,239748,US,0
SE,Data Scientist,159832,US,0
SE,Data Scientist,186300,US,100
SE,Data Scientist,102500,US,100
SE,Data Engineer,165000,US,0
SE,Data Engineer,132300,US,0
SE,Data Scientist,190000,US,0
SE,Data Scientist,126000,US,0
SE,Data Architect,149040,US,100
SE,Data Architect,113900,US,100
SE,Data Engineer,153600,US,100
SE,Data Engineer,106800,US,100
SE,Data Engineer,172600,US,100
SE,Data Engineer,107900,US,100
SE,Data Analyst,180180,US,0
SE,Data Analyst,106020,US,0
SE,Data Architect,376080,US,100
SE,Data Architect,213120,US,100
SE,Data Analyst,153600,US,0
SE,Data Analyst,100500,US,0
SE,Data Analyst,206500,US,100
SE,Data Analyst,121600,US,100
SE,Data Engineer,260000,US,0
SE,Data Engineer,225000,US,0
EX,Data Engineer,194500,US,0
EX,Data Engineer,115500,US,0
SE,Data Engineer,170000,US,100
SE,Machine Learning Engineer,90000,US,100
EN,Data Analyst,95000,US,100
EN,Data Analyst,70000,US,100
SE,Data Engineer,275000,US,0
SE,Data Engineer,160000,US,0
SE,Data Analyst,115934,US,100
SE,Data Analyst,81666,US,100
SE,Data Scientist,175000,US,0
SE,Data Scientist,120000,US,0
SE,Machine Learning Engineer,150000,US,100
SE,Machine Learning Engineer,120000,US,100
SE,Research Engineer,200000,US,0
SE,Research Engineer,175000,US,0
MI,Data Analyst,206000,US,0
MI,Data Analyst,130000,US,0
SE,Data Architect,138000,GB,100
SE,Data Architect,92000,GB,100
SE,Data Manager,65000,CO,0
SE,Data Manager,48000,CO,0
SE,Data Analyst,110000,US,100
SE,Data Analyst,75000,US,100
SE,Analytics Engineer,130000,US,0
SE,Analytics Engineer,87000,US,0
MI,Data Analyst,160000,US,0
MI,Data Analyst,112000,US,0
MI,Data Engineer,162500,US,0
MI,Data Engineer,130000,US,0
SE,Data Scientist,299500,US,0
SE,Data Scientist,245100,US,0
MI,Data Scientist,145000,US,0
MI,Data Scientist,100000,US,0
SE,Data Engineer,147100,US,0
SE,Data Engineer,90700,US,0
EN,Data Engineer,115100,US,0
EN,Data Engineer,73900,US,0
SE,Data Engineer,168400,US,0
SE,Data Engineer,105200,US,0
SE,Data Scientist,210000,US,0
SE,Data Scientist,160000,US,0
MI,Data Scientist,145000,US,0
MI,Data Scientist,100000,US,0
SE,Research Scientist,222200,US,0
SE,Research Scientist,136000,US,0
MI,Data Analyst,100000,US,0
MI,Data Analyst,85000,US,0
MI,Data Engineer,85066,GB,100
MI,Data Engineer,57723,GB,100
EX,Data Scientist,200000,US,0
EX,Data Scientist,145000,US,0
MI,Data Engineer,140000,US,0
MI,Data Engineer,95000,US,0
SE,Data Analyst,185000,US,100
SE,Data Analyst,120250,US,100
MI,Data Analyst,130000,US,100
SE,Data Scientist,205000,US,0
SE,Data Scientist,140000,US,0
SE,Data Scientist,297300,US,100
SE,Data Scientist,198200,US,100
SE,Research Scientist,141288,US,0
SE,Research Scientist,94192,US,0
SE,Data Engineer,184000,US,100
SE,Data Engineer,143000,US,100
SE,Data Analyst,70000,US,0
SE,Data Analyst,55000,US,0
SE,Analytics Engineer,275300,US,100
SE,Analytics Engineer,183500,US,100
MI,Data Analyst,75000,US,100
MI,Data Analyst,65000,US,100
MI,Machine Learning Engineer,160000,US,0
MI,Machine Learning Engineer,147000,US,0
SE,Data Architect,149040,US,100
SE,Data Architect,113900,US,100
MI,Data Engineer,75020,SG,100
SE,Data Analyst,180180,US,0
SE,Data Analyst,106020,US,0
MI,Data Scientist,17022,IN,100
EN,AI Programmer,70000,IN,0
EN,AI Programmer,80000,SE,50
MI,Data Analyst,18238,IN,50
MI,Machine Learning Engineer,250000,US,0
MI,Machine Learning Engineer,150000,US,0
SE,Data Engineer,139500,US,0
SE,Data Engineer,109400,US,0
SE,Data Scientist,105000,US,0
SE,Data Scientist,70000,US,0
EX,Data Engineer,210914,US,100
EX,Data Engineer,116704,US,100
EN,Research Scientist,150000,US,0
EN,Research Scientist,100000,US,0
SE,Data Engineer,146000,US,0
SE,Data Engineer,75000,US,0
EN,Data Analyst,75000,US,100
EN,Data Analyst,60000,US,100
MI,Analytics Engineer,185700,US,0
MI,Analytics Engineer,165000,US,0
SE,Data Engineer,160000,US,100
SE,Data Engineer,130000,US,100
SE,Data Analyst,169000,US,0
SE,Data Analyst,110600,US,0
SE,Data Engineer,193000,US,100
SE,Data Engineer,136850,US,100
SE,Machine Learning Engineer,139500,US,0
SE,Machine Learning Engineer,109400,US,0
SE,Data Engineer,276000,US,100
SE,Data Engineer,178500,US,100
MI,Data Scientist,59020,ES,0
MI,Data Scientist,48289,ES,0
MI,Data Engineer,75116,SI,100
MI,Data Engineer,48289,SI,100
SE,Machine Learning Engineer,195652,GB,0
SE,Machine Learning Engineer,101228,GB,0
SE,Data Engineer,136956,GB,0
SE,Data Engineer,101228,GB,0
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
SE,Bi Developer,130000,US,100
MI,Data Scientist,150000,US,100
SE,Data Engineer,163800,US,0
SE,Data Engineer,126000,US,0
SE,Machine Learning Engineer,260000,CA,100
SE,Machine Learning Engineer,110000,CA,100
SE,Analytics Engineer,170000,US,100
SE,Analytics Engineer,130000,US,100
SE,Machine Learning Engineer,247500,US,0
SE,Machine Learning Engineer,172200,US,0
SE,Data Scientist,239748,US,0
SE,Data Scientist,159832,US,0
SE,Machine Learning Engineer,163800,US,0
SE,Machine Learning Engineer,126000,US,0
MI,Data Scientist,128750,US,0
MI,Data Scientist,106250,US,0
SE,Data Engineer,252000,US,0
SE,Data Engineer,129000,US,0
SE,Data Scientist,299500,US,0
SE,Data Scientist,245100,US,0
